기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_률,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20252,11440,마포구,CS200002,외국어학원,141.0,142.0,4.2,6.0,2.1,3.0,1.0
20252,11440,마포구,CS200008,한의원,161.0,161.0,1.2,2.0,1.2,2.0,0.0
20252,11290,성북구,CS300036,조명용품,137.0,137.0,1.5,2.0,0.7,1.0,0.0
20252,11290,성북구,CS300039,모터사이클및부품,46.0,46.0,2.2,1.0,0.0,0.0,0.0
20252,11440,마포구,CS200012,법무사사무소,73.0,73.0,4.1,3.0,0.0,0.0,0.0
20252,11440,마포구,CS200016,당구장,137.0,138.0,2.9,4.0,3.6,5.0,1.0
20252,11440,마포구,CS200020,전자게임장,6.0,7.0,0.0,0.0,0.0,0.0,1.0
20252,11440,마포구,CS200027,모터사이클수리,21.0,21.0,0.0,0.0,0.0,0.0,0.0
20252,11305,강북구,CS200001,일반교습학원,420.0,468.0,1.3,6.0,3.2,15.0,48.0
20252,11440,마포구,CS200036,고시원,7.0,7.0,0.0,0.0,0.0,0.0,0.0
20252,11440,마포구,CS200046,의류임대,29.0,30.0,0.0,0.0,3.3,1.0,1.0
20252,11305,강북구,CS200006,일반의원,259.0,259.0,0.8,2.0,0.4,1.0,0.0
20252,11440,마포구,CS300003,컴퓨터및주변장치판매,371.0,371.0,0.0,0.0,0.5,2.0,0.0
20252,11440,마포구,CS300005,주류도매,36.0,36.0,0.0,0.0,0.0,0.0,0.0
20252,11305,강북구,CS200008,한의원,97.0,97.0,2.1,2.0,3.1,3.0,0.0
20252,11305,강북구,CS200019,PC방,46.0,49.0,4.1,2.0,8.2,4.0,3.0
20252,11305,강북구,CS200033,부동산중개업,760.0,761.0,0.0,0.0,2.8,21.0,1.0
20252,11305,강북구,CS200044,여행사,47.0,47.0,0.0,0.0,0.0,0.0,0.0
20252,11440,마포구,CS300008,수산물판매,139.0,141.0,0.0,0.0,0.7,1.0,2.0
20252,11440,마포구,CS300009,청과상,227.0,228.0,0.9,2.0,3.5,8.0,1.0
20252,11440,마포구,CS300016,안경,103.0,145.0,2.1,3.0,1.4,2.0,42.0
20252,11440,마포구,CS300021,문구,240.0,261.0,1.9,5.0,2.3,6.0,21.0
20252,11440,마포구,CS300024,운동/경기용품,151.0,151.0,4.6,7.0,0.7,1.0,0.0
20252,11440,마포구,CS300032,가전제품,81.0,81.0,0.0,0.0,3.7,3.0,0.0
